grid_point, analysis_value, analysis_increment
[23, 14],5828.475875485711,7.770962279592823
[23, 15],5844.301413682433,12.382065330896694
[23, 16],5858.226131461743,17.999377027281298
[23, 17],5869.9746215572895,23.034849074661906
[23, 18],5879.399929645466,27.0289603567644
[23, 19],5875.57077211778,19.0418628687421
[23, 20],5875.370567230324,15.88500845494218
[23, 21],5874.984396638182,13.725404119988525
[24, 0],5375.151197537258,-66.13442286527061
[24, 1],5463.449957450643,-28.047283794568102
[24, 2],5523.218413455571,-13.851025993794792
[24, 3],5569.361271703113,-6.04619109939631
[24, 4],5608.653860835295,2.1321814762277427
[24, 5],5638.962745872032,6.980208821040833
[24, 6],5668.6645693087585,12.982774781806256
[24, 7],5695.6624534393795,14.457645459879132
[24, 8],5722.088329188986,14.759245557001123
[24, 9],5745.518811625216,15.467093261747323
[24, 10],5762.457147986089,13.323896820998016
[24, 11],5781.726095688525,14.056679047620491
[24, 12],5800.602761800962,12.42213165478097
[24, 13],5817.7396681018745,8.717357228686524
[24, 14],5830.589621175881,4.731090999458502
[24, 15],5846.463799653351,8.608325203093955
[24, 16],5859.168791052317,12.16637425605677
[24, 17],5871.623005909628,16.848613062262302
[24, 18],5881.327230010518,19.831889552088796
[24, 19],5876.688253266354,9.746493045297939
[24, 20],5878.4258603477,7.464947738401861
[24, 21],5869.668133313128,-4.011113867767563
[25, 0],5404.927981890781,-50.8901926594217
[25, 1],5474.4908201783965,-24.9184577732276
[25, 2],5536.21370705536,-3.069872352993116
[25, 3],5575.231943744145,1.0515149590319197
[25, 4],5607.28994088422,3.3063030395060196
[25, 5],5634.849065966116,5.481971665045421
[25, 6],5664.554427513329,10.89792008602035
[25, 7],5690.4948457204555,9.693601541281168
[25, 8],5721.658979042819,12.042458681835342
[25, 9],5750.912819962096,16.313433286332838
[25, 10],5771.774039182167,17.3031060374351
[25, 11],5790.146683393372,17.63267351439663
[25, 12],5807.488375723859,15.456195137146096
[25, 13],5822.092731514288,9.505606821021502
[25, 14],5830.151120178756,-0.05884211380544002
[25, 15],5841.821398200457,-1.573409224295574
[25, 16],5857.8911595198215,4.292595786580932
[25, 17],5871.435595731637,9.533479338325378
